rank;title;Previous Rank;Revenues ($M);Revenue Change(%);Profits ($M);Profit Change(%);Assets ($M);Mkt Value as of 3/29/18 ($M);Employees;CEO;CEO Title;Sector;Industry;Years on Fortune 500 List;City;State;Latitude;Longitude
374;DXC Technology;;7607;7,1;-123;-149;8663;2872;60;J. Michael Lawrie;Chairman, President &  Chief Executive Officer;Technology;Information Technology Services;1;Tysons;VA;38.9187222;-77.2310925
375;Auto-Owners Insurance;398;7604;12,2;645,7;-8,6;23694;0;5227;Jeffrey S. Tagsold;Chief Executive Officer &  Director;Financials;Insurance: Property and Casualty (Mutual);16;Lansing;MI;42.732535;-84.5555347
376;Jones Financial (Edward Jones);403;7597;14,6;872;16,9;17176;0;45000;James D. Weddle;Chief Executive Officer &  Managing Partner;Financials;Securities;6;Des Peres;MO;38.59722;-90.448126
377;Liberty Media;491;7594;43,9;1354;99,1;41996;13816;4393;Gregory B. Maffei;President, Chief Executive Officer &  Director;Media;Entertainment;2;Englewood;CO;39.6477653;-104.9877597
378;Erie Insurance Group;382;7535;7,4;857,5;15,6;2067;0;526;Timothy G. NeCastro;Chief Executive Officer;Financials;Insurance: Property and Casualty (Mutual);15;Erie;PA;42.1292241;-80.085059
379;Hershey;369;7515;1;783;8,7;5554;20774;16135;Michele G. Buck;President, Chief Executive Officer &  Director;Food, Beverages &  Tobacco;Food Consumer Products;24;Hershey;PA;40.2859239;-76.6502468
380;PPL;365;7447;-0,9;1128;-40,7;41479;19635;12512;William H. Spence;Chairman, President &  Chief Executive Officer;Energy;Utilities: Gas and Electric;24;Allentown;PA;40.6022939;-75.4714098
381;Huntington Ingalls Industries;380;7441;5,3;479;-16,4;6374;11539;38;C. Michael Petters;President, Chief Executive Officer &  Director;Aerospace &  Defense;Aerospace and Defense;6;Newport News;VA;37.0870821;-76.4730122
382;Mosaic;377;7409;3,4;-107,2;-136;18633;9358;85;James C. O'Rourke;President, Chief Executive Officer &  Director;Chemicals;Chemicals;13;Plymouth;MN;45.0105194;-93.4555093
383;J.M. Smucker;346;7392;-5,4;592,3;-14;1564;14087;714;Mark T. Smucker;President, Chief Executive Officer &  Director;Food, Beverages &  Tobacco;Food Consumer Products;8;Orrville;OH;40.8436663;-81.7640212
384;Delek US Holdings;480;735;35,7;288,8;0;5935;3416;3941;Ezra Uzi Yemin;Chairman, President &  Chief Executive Officer;Energy;Petroleum Refining;4;Brentwood;TN;36.0331164;-86.7827772
385;Newmont Mining;328;7348;-12,3;-98;0;20563;20853;12569;Gary J. Goldberg;President, Chief Executive Officer &  Director;Energy;Mining, Crude-Oil Production;15;Greenwood Village;CO;39.6172101;-104.9508141
386;Constellation Brands;408;7332;12;1535,1;45,5;18602;44379;87;Robert S. Sands;Chairman &  Chief Executive Officer;Food, Beverages &  Tobacco;Beverages;6;Victor;NY;42.9825633;-77.4088794
387;Ryder System;394;733;8;790,6;201,2;11452;3867;361;Robert E. Sanchez;Chairman, President &  Chief Executive Officer;Transportation;Trucking, Truck Leasing;24;Miami;FL;25.7616798;-80.1917902
388;National Oilwell Varco;375;7304;0,7;-237;0;20206;13993;31605;Clay C. Williams;Chairman, President &  Chief Executive Officer;Energy;Oil and Gas Equipment, Services;13;Houston;TX;29.7604267;-95.3698028
389;Adobe Systems;443;7302;24,7;1694;44,9;14536;106413;17973;Shantanu Narayen;Chairman, President &  Chief Executive Officer;Technology;Computer Software;2;San Jose;CA;37.3382082;-121.8863286
390;LifePoint Health;374;7263;-0,1;102,4;-16;6286;1832;42;William F. Carpenter III;Chairman &  Chief Executive Officer;Health Care;Health Care: Medical Facilities;4;Brentwood;TN;36.0331164;-86.7827772
391;Tractor Supply;396;7256;7;422,6;-3,3;2869;7807;21;Gregory A. Sandfort;Chairman &  Chief Executive Officer;Retailing;Specialty Retailers: Other;5;Brentwood;TN;36.0331164;-86.7827772
392;Thor Industries;540;7247;58,2;374,3;45,9;2558;6069;178;Robert W. Martin;President, Chief Executive Officer &  Director;Motor Vehicles &  Parts;Motor Vehicles and Parts;1;Elkhart;IN;41.6819935;-85.9766671
393;Dana;447;7209;23,7;111;-82,7;5644;3741;301;James K. Kamsickas;President, Chief Executive Officer &  Director;Motor Vehicles &  Parts;Motor Vehicles and Parts;24;Maumee;OH;41.5628294;-83.6538244
394;Weyerhaeuser;341;7196;-8,9;582;-43,3;18059;26463;93;Doyle R. Simons;President, Chief Executive Officer &  Director;Materials;Forest and Paper Products;24;Seattle;WA;47.6062095;-122.3320708
395;J.B. Hunt Transport Services;407;719;9,7;686,3;58,8;4465;12858;24681;John N. Roberts III;President, Chief Executive Officer &  Director;Transportation;Trucking, Truck Leasing;6;Lowell;AR;36.2553543;-94.1307587
396;Darden Restaurants;385;717;3,4;479,1;27,8;5504;10531;178729;Eugene I. Lee Jr.;President, Chief Executive Officer &  Director;Hotels, Restaurants &  Leisure;Food Services;22;Orlando;FL;28.5383355;-81.3792365
397;Yum China Holdings;399;7144;5,8;403;-19,7;4263;16009;450;Joey Wat;Chairman &  Chief Executive Officer;Hotels, Restaurants &  Leisure;Food Services;2;Plano;TX;33.0198431;-96.6988856
398;Blackstone Group;503;7119;38,9;1470,8;41,5;34429;21058;236;Stephen A. Schwarzman;Chairman &  Chief Executive Officer;Financials;Diversified Financials;3;New York;NY;40.7127753;-74.0059728
399;Berry Global Group;413;7095;9,3;340;44,1;8476;7191;23;Thomas E. Salmon;Chairman &  Chief Executive Officer;Materials;Packaging, Containers;2;Evansville;IN;37.9715592;-87.5710898
400;Builders FirstSource;421;7034;10,5;38,8;-73,1;3006;2264;15;M. Chad Crow;President, Chief Executive Officer &  Director;Materials;Building Materials, Glass;2;Dallas;TX;32.7766642;-96.7969879
401;Activision Blizzard;406;7017;6,2;273;-71,7;18668;51177;98;Robert A. Kotick;Chairman &  Chief Executive Officer;Technology;Entertainment;2;Santa Monica;CA;34.0194543;-118.4911912
402;JetBlue Airways;403;7015;5,8;1147;51,1;9781;654;17424;Robin Hayes;President, Chief Executive Officer &  Director;Transportation;Airlines;6;;NY;40.744679;-73.9485424
403;Amphenol;424;7011;11,5;650,5;-21;10004;26311;70;R. Adam Norwitt;President, Chief Executive Officer &  Director;Technology;Network and Other Communications Equipment;4;Wallingford;CT;41.4570108;-72.8230736
404;A-Mark Precious Metals;395;699;3;7,1;-23,6;479;86;126;Gregory N. Roberts;Chairman &  Chief Executive Officer;Materials;Miscellaneous;4;El Segundo;CA;33.9191799;-118.4164652
405;Spirit AeroSystems Holdings;393;6983;2,8;354,9;-24,4;5268;9595;155;Thomas C. Gentile III;President, Chief Executive Officer &  Director;Aerospace &  Defense;Aerospace and Defense;4;Wichita;KS;37.6871761;-97.330053
406;R.R. Donnelley & Sons;388;694;0,6;-34,4;0;3905;612;427;Daniel L. Knotts;President, Chief Executive Officer &  Director;Media;Publishing, Printing;24;Chicago;IL;41.8781136;-87.6297982
407;Harris;363;6939;-7,8;553;70,7;1009;19149;17;William M. Brown;Chairman, President &  Chief Executive Officer;Aerospace &  Defense;Aerospace and Defense;14;Melbourne;FL;28.0836269;-80.6081089
408;Expeditors Intl. of Washington;429;6921;13,5;489,3;13,6;3117;11087;165;Jeffrey S. Musser;President, Chief Executive Officer &  Director;Transportation;Transportation and Logistics;11;Seattle;WA;47.6062095;-122.3320708
409;Discovery;412;6873;5,8;-337;-128,2;22555;11156;7;David M. Zaslav;President, Chief Executive Officer &  Director;Media;Entertainment;5;Silver Spring;MD;38.9906657;-77.026088
410;Owens-Illinois;401;6869;2,5;180;-13,9;9756;3538;265;Andres A. Lopez;President, Chief Executive Officer &  Director;Materials;Packaging, Containers;24;Perrysburg;OH;41.556996;-83.627157
411;Sanmina;414;6869;6;138,8;-26,1;3847;1863;4125;Robert K. Eulau;Chairman &  Chief Executive Officer;Technology;Semiconductors and Other Electronic Components;18;San Jose;CA;37.3382082;-121.8863286
412;KeyCorp;479;6868;26,7;1296;63,8;137698;2057;18415;Beth E. Mooney;Chairman, President &  Chief Executive Officer;Financials;Commercial Banks;20;Cleveland;OH;41.49932;-81.6943605
413;American Financial Group;411;6865;5,6;475;-26,8;60658;9923;76;Carl H. Lindner lll/S. Craig Lindner;President, Co-Chief Executive Officer &  Director;Financials;Insurance: Property and Casualty (Stock);19;Cincinnati;OH;39.1031182;-84.5120196
414;Oshkosh;425;683;8,8;285,6;32;5099;5768;14;Wilson R. Jones;President, Chief Executive Officer &  Director;Industrials;Construction and Farm Machinery;11;Oshkosh;WI;44.0247062;-88.5426136
415;Rockwell Collins;492;6822;29,7;705;-3,2;17997;22108;29;Robert K. Ortberg;Chairman, President &  Chief Executive Officer;Aerospace &  Defense;Aerospace and Defense;7;Cedar Rapids;IA;41.9778795;-91.6656232
416;Kindred Healthcare;376;6768;-6,4;-698,4;0;5233;836;642;Benjamin A. Breier;President, Chief Executive Officer &  Director;Health Care;Health Care: Medical Facilities;15;Louisville;KY;38.2526647;-85.7584557
417;Insight Enterprises;473;6704;22,2;90,7;7,1;2686;1252;6697;Kenneth T. Lamneck;President, Chief Executive Officer &  Director;Technology;Information Technology Services;10;Tempe;AZ;33.4255104;-111.9400054
418;Dr Pepper Snapple Group;416;669;3,9;1076;27;10022;21278;21;Larry D. Young;President, Chief Executive Officer &  Director;Food, Beverages &  Tobacco;Beverages;10;Plano;TX;33.0198431;-96.6988856
419;American Tower;449;6664;15,2;1238,9;29,5;33214;64073;4752;James D. Taiclet Jr.;Chairman, President &  Chief Executive Officer;Financials;Real estate;2;Boston;MA;42.3600825;-71.0588801
420;Fortive;;6656;0;1044,5;0;10501;26979;26;James A. Lico;President, Chief Executive Officer &  Director;Industrials;Industrial Machinery;1;Everett;WA;47.9789848;-122.2020795
421;Ralph Lauren;371;6653;-10,2;-99,3;-125,1;5652;9088;1825;Patrice Louvet;President, Chief Executive Officer &  Director;Apparel;Apparel;10;New York;NY;40.7127753;-74.0059728
422;HRG Group;418;665;3,9;106;0;3585;3328;17113;Joseph S. Steinberg;Chairman &  Chief Executive Officer;Household Products;Household and Personal Products;5;New York;NY;40.7127753;-74.0059728
423;Ascena Retail Group;384;665;-4,9;-1067,3;0;3872;394;40;David R. Jaffe;Chairman &  Chief Executive Officer;Retailing;Specialty Retailers: Apparel;2;Mahwah;NJ;41.0886216;-74.1435843
424;United Rentals;452;6641;15,3;1346;137,8;1503;14537;148;Michael J. Kneeland;Chairman &  Chief Executive Officer;Business Services;Miscellaneous;5;Stamford;CT;41.0534302;-73.5387341
425;Caseys General Stores;423;6641;5,3;177,5;-21,5;302;412;25463;Terry W. Handley;President, Chief Executive Officer &  Director;Retailing;Specialty Retailers: Other;8;Ankeny;IA;41.7317884;-93.6001278
426;Graybar Electric;420;6631;3,9;71,6;-23,1;2261;0;85;Kathleen M. Mazzarella;Chairman, President &  Chief Executive Officer;Wholesalers;Wholesalers: Diversified;24;St. Louis;MO;38.6270025;-90.1994042
427;Avery Dennison;430;6614;8,7;281,8;-12,1;5137;9361;30;Mitchell R. Butier;President, Chief Executive Officer &  Director;Materials;Packaging, Containers;24;Glendale;CA;34.1425078;-118.255075
428;MasTec;502;6607;28,7;347,2;164,5;4067;3874;173;Jose R. Mas;Chief Executive Officer;Engineering &  Construction;Engineering, Construction;1;Coral Gables;FL;25.72149;-80.2683838
429;CMS Energy;419;6583;2,9;460;-16,5;2305;12793;7887;Patricia K. Poppe;President, Chief Executive Officer &  Director;Energy;Utilities: Gas and Electric;24;Jackson;MI;42.245869;-84.4013462
430;HD Supply Holdings;364;6534;-13,2;970;394,9;4318;704;11;Joseph J. DeAngelo;Chairman, President &  Chief Executive Officer;Wholesalers;Wholesalers: Diversified;6;Atlanta;GA;33.7489954;-84.3879824
431;Raymond James Financial;469;6525;18,2;636,2;20,2;34884;13019;127;Paul C. Reilly;Chairman &  Chief Executive Officer;Financials;Securities;3;St. Petersburg;FL;27.7676008;-82.6402915
432;NCR;409;6516;-0,4;232;-14,1;7654;3737;34;Michael D. Hayford;Chief Executive Officer &  Director;Technology;Computers, Office Equipment;21;Atlanta;GA;33.7489954;-84.3879824
433;Hanesbrands;432;6478;6,9;61,9;-88,5;6895;6638;672;Gerald W. Evans Jr.;Chairman &  Chief Executive Officer;Apparel;Apparel;4;Winston-Salem;NC;36.0998596;-80.244216
434;Asbury Automotive Group;410;6457;-1,1;139,1;-16,8;2357;1412;8;David W. Hult;President, Chief Executive Officer &  Director;Retailing;Automotive Retailing, Services;12;Duluth;GA;34.0028786;-84.1446376
435;Citizens Financial Group;451;6454;12;1652;58,1;152336;20474;17594;Bruce W. Van Saun;Chairman, President &  Chief Executive Officer;Financials;Commercial Banks;3;Providence;RI;41.8239891;-71.4128343
436;Packaging Corp. of America;450;6445;11,5;668,6;48,7;6198;10633;146;Mark W. Kowlzan;Chairman &  Chief Executive Officer;Materials;Packaging, Containers;4;Lake Forest;IL;42.2586342;-87.840625
437;Alleghany;428;6425;4,8;90,1;-80,3;25384;946;4402;Weston M. Hicks;President, Chief Executive Officer &  Director;Financials;Insurance: Property and Casualty (Stock);4;New York;NY;40.7127753;-74.0059728
438;Apache;488;6423;20;1304;0;21922;14678;3356;John J. Christmann IV;President, Chief Executive Officer &  Director;Energy;Mining, Crude-Oil Production;15;Houston;TX;29.7604267;-95.3698028
439;Dillards;417;6423;0,1;221,3;30,8;3673;2289;314;William T. Dillard II;Chairman &  Chief Executive Officer;Retailing;General Merchandisers;24;Little Rock;AR;34.7464809;-92.2895948
440;Assurant;361;6415;-14,8;519,6;-8,1;31843;4803;14175;Alan B. Colberg;President, Chief Executive Officer &  Director;Financials;Insurance: Property and Casualty (Stock);14;New York;NY;40.7127753;-74.0059728
441;Franklin Resources;405;6392;-3,4;1696,7;-1,7;17534;19133;9386;Gregory E. Johnson;Chairman &  Chief Executive Officer;Financials;Securities;13;San Mateo;CA;37.5629917;-122.3255254
442;Owens Corning;458;6384;12,5;289;-26,5;8632;8982;17;Michael H. Thaman;Chairman, President &  Chief Executive Officer;Materials;Building Materials, Glass;24;Toledo;OH;41.6528052;-83.5378674
443;Motorola Solutions;433;638;5,7;-155;-127,7;8208;17027;15;Gregory Q. Brown;Chairman &  Chief Executive Officer;Technology;Network and Other Communications Equipment;24;Chicago;IL;41.8781136;-87.6297982
444;NVR;446;6322;8,4;537,5;26,4;2989;10262;52;Paul C. Saville;President, Chief Executive Officer &  Director;Engineering &  Construction;Homebuilders;9;Reston;VA;38.9586307;-77.3570028
445;Rockwell Automation;442;6311;7,3;825,7;13,2;7162;2226;22;Blake D. Moret;Chairman, President &  Chief Executive Officer;Industrials;Electronics, Electrical Equip.;24;Milwaukee;WI;43.0389025;-87.9064736
446;TreeHouse Foods;427;6307;2,1;-286,2;0;5779;2159;13489;Steven Oakland;President, Chief Executive Officer &  Director;Food, Beverages &  Tobacco;Food Consumer Products;2;Oak Brook;IL;41.8397865;-87.9535534
447;Wynn Resorts;548;6306;41,2;747,2;208,8;12682;19778;252;Matthew O. Maddox;President, Chief Executive Officer &  Director;Hotels, Restaurants &  Leisure;Hotels, Casinos, Resorts;5;Las Vegas;NV;36.1699412;-115.1398296
448;Olin;467;6268;12,9;549,5;0;9218;5081;64;John E. Fischer;Chairman, President &  Chief Executive Officer;Chemicals;Chemicals;5;Clayton;MO;38.6425518;-90.3237263
449;American Axle & Manufacturing;593;6266;58,7;337,1;40;7883;1699;25;David C. Dauch;Chairman &  Chief Executive Officer;Motor Vehicles &  Parts;Motor Vehicles and Parts;4;Detroit;MI;42.331427;-83.0457538
450;Old Republic International;439;6263;6,1;560,5;20;19404;5778;87;Aldo C. Zucaro;Chairman &  Chief Executive Officer;Financials;Insurance: Property and Casualty (Stock);7;Chicago;IL;41.8781136;-87.6297982
451;Chemours;482;6183;14,5;746;10557,1;7293;884;7;Mark P. Vergnano;President, Chief Executive Officer &  Director;Chemicals;Chemicals;2;Wilmington;DE;39.7390721;-75.5397878
452;iHeartMedia;426;6178;-1,5;-704,4;0;12257;39;187;Robert W. Pittman;Chairman &  Chief Executive Officer;Media;Entertainment;18;San Antonio;TX;29.4241219;-98.4936282
453;Ameren;431;6177;1,7;523;-19,9;25945;1374;8615;Warner L. Baxter;Chairman, President &  Chief Executive Officer;Energy;Utilities: Gas and Electric;21;St. Louis;MO;38.6270025;-90.1994042
454;Arthur J. Gallagher;462;616;10,1;463,1;11,8;12897;12512;26783;J. Patrick Gallagher Jr.;Chairman, President &  Chief Executive Officer;Financials;Diversified Financials;3;Rolling Meadows;IL;42.0841936;-88.0131275
455;Celanese;484;614;13,9;843;-6,3;9538;13611;7592;Mark C. Rohr;Chairman, President &  Chief Executive Officer;Chemicals;Chemicals;13;Irving;TX;32.8140177;-96.9488945
456;Sealed Air;397;6131;-9,6;814,9;67,5;528;7162;15;Edward L. Doheny II;President, Chief Executive Officer &  Director;Materials;Packaging, Containers;21;Charlotte;NC;35.2270869;-80.8431267
457;UGI;457;6121;7,7;436,6;19,7;11582;7685;13;John L. Walsh;President, Chief Executive Officer &  Director;Energy;Energy;14;King of Prussia;PA;40.1012856;-75.3835525
458;Realogy Holdings;448;6114;5,2;431;102,3;7337;3568;118;Ryan M. Schneider;President, Chief Executive Officer &  Director;Financials;Real estate;8;Madison;NJ;40.7598227;-74.417097
459;Burlington Stores;463;611;9,3;384,9;78,3;2813;9018;40;Thomas A. Kingsbury;Chairman, President &  Chief Executive Officer;Retailing;Specialty Retailers: Apparel;3;Burlington;NJ;40.071222;-74.8648873
460;Regions Financial;436;6093;2,1;1263;8,6;124294;20861;21714;O.B. Grayson Hall Jr.;Chairman &  Chief Executive Officer;Financials;Commercial Banks;20;Birmingham;AL;33.5206608;-86.80249
461;AK Steel Holding;441;6081;3,4;6,2;0;4296;1428;92;Roger K. Newport;Chairman &  Chief Executive Officer;Materials;Metals;18;Beckett Ridge;OH;39.3321262;-84.4172666
462;Securian Financial Group;532;6067;27;418,9;68,7;51232;0;5;Christopher M. Hilger;Chairman, President &  Chief Executive Officer;Financials;Insurance: Life, Health (stock);1;St Paul;MN;44.9537029;-93.0899578
463;S& P Global;459;6063;7,1;1496;-29;9425;47643;204;Douglas L. Peterson;President, Chief Executive Officer &  Director;Business Services;Financial Data Services;24;New York;NY;40.7127753;-74.0059728
464;Markel;460;6062;8;395,3;-13,3;32805;16264;156;Thomas S. Gayner/Richard R. Whitt III;Co-Chief Executive Officer &  Director;Financials;Insurance: Property and Casualty (Stock);3;Glen Allen;VA;37.665978;-77.5063739
465;TravelCenters of America;470;6052;9,8;9,3;0;1618;144;19611;Andrew J. Rebholz;Chief Executive Officer &  Director;Retailing;Specialty Retailers: Other;11;Westlake;OH;41.4553232;-81.9179173
466;Conduent;;6022;0;181;0;7548;3923;90;Ashok Vemuri;Chairman &  Chief Executive Officer;Business Services;Diversified Outsourcing Services;1;Florham Park;NJ;40.787878;-74.3882072
